"","Rep_2020_Pres","Dem_2020_Pres","Total_2020_Pres","District"
"167",224001,126279,356789,"IN-09"
"168",206458,110565,324065,"KS-01"
"169",183252,130811,321501,"KS-02"
"170",187733,205619,401920,"KS-03"
"171",193958,123325,324809,"KS-04"
"172",248605,98067,351934,"KY-01"
"173",237267,108585,351844,"KY-02"
"174",138631,220409,365925,"KY-03"
"175",245599,122873,375259,"KY-04"
"176",258770,64518,327434,"KY-05"
"177",197774,158022,363040,"KY-06"
"178",256622,109242,372802,"LA-01"
"179",82116,272553,360636,"LA-02"
"180",239328,106734,352153,"LA-03"
"181",215522,130826,351691,"LA-04"
"182",224733,120688,350573,"LA-05"
"183",237455,115991,360207,"LA-06"
"184",150047,235201,394516,"MA-01"
"185",132540,254519,397528,"MA-02"
"186",131371,233535,374196,"MA-03"
"187",145116,263665,418353,"MA-04"
"188",94414,298874,401879,"MA-05"
"189",158964,283227,452222,"MA-06"
"190",41247,269379,316358,"MA-07"
"191",130314,277345,416707,"MA-08"
"192",183106,266298,459400,"MA-09"
"193",230936,171274,412885,"MD-01"
"194",150935,232384,394208,"MD-02"
"195",149735,255269,417218,"MD-03"
"196",26252,271634,304435,"MD-04"
"197",128856,280869,419204,"MD-05"
"198",163854,200390,373942,"MD-06"
"199",54311,251744,312583,"MD-07"
"200",71532,321459,402553,"MD-08"
"201",159936,258033,430149,"ME-01"
"202",200831,177037,389220,"ME-02"
"203",274976,182980,465110,"MI-01"
"204",262160,145233,414575,"MI-02"
"205",186676,222082,416867,"MI-03"
"206",213172,196701,417535,"MI-04"
"207",248444,150374,405858,"MI-05"
"208",164372,286129,456476,"MI-06"
"209",217743,221981,447459,"MI-07"
"210",206999,215709,429210,"MI-08"
"211",297509,160625,464805,"MI-09"
"212",214177,209969,429829,"MI-10"
"213",182216,273913,462264,"MI-11"
"214",97504,285421,387388,"MI-12"
"215",83911,252919,340832,"MI-13"
"216",208062,172288,389727,"MN-01"
"217",190867,221065,422175,"MN-02"
"218",167389,258519,435974,"MN-03"
"219",119665,268899,397840,"MN-04"
"220",69139,319421,398002,"MN-05"
"221",238883,165870,414967,"MN-06"
"222",260006,128550,396627,"MN-07"
"223",230050,182463,421853,"MN-08"
"224",71041,278286,355022,"MO-01"
"225",232826,198772,438874,"MO-02"
"226",247447,143368,398364,"MO-03"
"227",257010,109083,373429,"MO-04"
"228",125645,217868,350530,"MO-05"
"229",255750,115550,377876,"MO-06"
"230",254241,103422,364372,"MO-07"
"231",274776,86665,366690,"MO-08"
